"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/francoismari/dev/adeno/app/assets/data/multiplayer/getMultiplayerQuestions.js", "JavaScript", 7, 0, 2, 9
"/Users/francoismari/dev/adeno/app/assets/data/multiplayer/questions_en.js", "JavaScript", 452, 0, 1, 453
"/Users/francoismari/dev/adeno/app/assets/data/multiplayer/questions_fr.js", "JavaScript", 452, 7, 7, 466
"/Users/francoismari/dev/adeno/app/assets/data/partners.js", "JavaScript", 42, 0, 1, 43
"/Users/francoismari/dev/adeno/app/assets/data/solo/questionsByLocale.js", "JavaScript", 19, 1, 3, 23
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_bg.js", "JavaScript", 4646, 0, 1, 4647
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_cs.js", "JavaScript", 4627, 0, 1, 4628
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_da.js", "JavaScript", 4637, 0, 1, 4638
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_de.js", "JavaScript", 4650, 0, 1, 4651
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_dk.js", "JavaScript", 0, 0, 1, 1
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_el.js", "JavaScript", 4651, 0, 1, 4652
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_en.js", "JavaScript", 4636, 0, 1, 4637
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_es.js", "JavaScript", 4644, 0, 1, 4645
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_et.js", "JavaScript", 4626, 0, 1, 4627
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_fi.js", "JavaScript", 4637, 0, 1, 4638
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_fr.js", "JavaScript", 4645, 0, 1, 4646
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_ga.js", "JavaScript", 0, 0, 1, 1
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_hr.js", "JavaScript", 4628, 0, 1, 4629
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_hu.js", "JavaScript", 4644, 0, 0, 4644
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_it.js", "JavaScript", 4642, 0, 1, 4643
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_lt.js", "JavaScript", 4633, 0, 0, 4633
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_lv.js", "JavaScript", 4639, 0, 1, 4640
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_mt.js", "JavaScript", 4646, 0, 1, 4647
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_nl.js", "JavaScript", 0, 0, 1, 1
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_pl.js", "JavaScript", 4644, 0, 1, 4645
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_pt.js", "JavaScript", 4635, 0, 1, 4636
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_ro.js", "JavaScript", 4642, 0, 1, 4643
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_sk.js", "JavaScript", 4634, 0, 1, 4635
"/Users/francoismari/dev/adeno/app/assets/data/solo/questions_sl.js", "JavaScript", 4635, 0, 1, 4636
